article,efo,count,dbName,dbId
PMC4209970,"disease",2,,EFO_0000408
PMC4209970,"exposure",2,,EFO_0000487
PMC4209970,"cultivars",1,,EFO_0005136
PMC4209970,"placode",1,,EFO_0001650
PMC4209970,"lateral",1,,EFO_0001657
PMC4209970,"strain",1,,EFO_0005135
PMC4209970,"wood",1,,EFO_0001042
PMC4209970,"cages",1,,EFO_0004181
PMC4220615,"HepG2",39,,EFO_0001187
PMC4220615,"mg/kg",21,,EFO_0002902
PMC4220615,"K562",19,,EFO_0002067
PMC4220615,"dose",18,,EFO_0000428
PMC4220615,"Caco-2",14,,EFO_0001099
PMC4220615,"A549",9,,EFO_0001086
PMC4220615,"alpha",7,,EFO_0001270
PMC4220615,"H520",6,,EFO_0003124
PMC4220615,"diet",6,,EFO_0002755
PMC4220615,"g/kg",5,,EFO_0002897
PMC4220615,"bone",4,,EFO_0000298
PMC4220615,"Exposure",4,,EFO_0000487
PMC4220615,"U937",4,,EFO_0001257
PMC4220615,"xenograft",3,,EFO_0003942
PMC4220615,"survival",3,,EFO_0000714
PMC4220615,"metabolite",3,,EFO_0004727
PMC4220615,"A375",3,,EFO_0002103
PMC4220615,"Jurkat",3,,EFO_0002796
PMC4220615,"mortality",2,,EFO_0004352
PMC4220615,"cancer",2,,EFO_0000311
PMC4220615,"skin",2,,EFO_0000962
PMC4220615,"Ishikawa",2,,EFO_0005718
PMC4220615,"lymphoblast",2,,EFO_0000572
PMC4220615,"leaf",1,,EFO_0000993
PMC4220615,"strains",1,,EFO_0005135
PMC4220615,"hand",1,,EFO_0000877
PMC4220615,"tumor",1,,EFO_0000616
PMC4220615,"weight",1,,EFO_0004338
PMC4220615,"telomere",1,,EFO_0004359
PMC4220615,"substrate",1,,EFO_0005061
PMC4220615,"polyp",1,,EFO_0000662
PMC4220615,"melanoma",1,,EFO_0000756
PMC4220615,"stem",1,,EFO_0001040
PMC4220615,"diseases",1,,EFO_0000408
PMC4220615,"precursors",1,,EFO_0001651
PMC4220615,"male",1,,EFO_0001266
